#name	name2
NM_001258549	prage
NM_001258532	futsch
NM_001201599	prage
NM_001201595	Mur2B
NM_001169161	futsch
NM_001103394	futsch
NM_001038734	Hr4
NM_130677	CG14418
NM_130656	Seipin
NM_080320	kirre
NM_080306	pcx
NM_001297896	trol
NM_001297895	trol
NM_001297894	trol
NM_001297893	trol
NM_001297892	CG2841
NM_001272268	CG14418
NM_001272267	kirre
NM_001272254	pcx
NM_001272253	pcx
NM_001258579	kirre
NM_001258578	kirre
NM_001258571	trol
NM_001258570	trol
NM_001258569	trol
NM_001258568	trol
NM_001258567	trol
NM_001258566	trol
NM_001258565	trol
NM_001258564	trol
NM_001258563	trol
NM_001258562	trol
NM_001258559	CG2841
NM_001169177	trol
NM_001103399	trol
NM_001031867	trol
NM_001031866	trol
NM_001031865	trol
NM_001031864	trol
NM_001031863	trol
NM_001031862	trol
NR_133510	lncRNA:CR46247
NR_133509	lncRNA:CR46247
NR_123782	lncRNA:CR44999
NM_166972	CG12535
NM_166968	dnc
NM_166965	dnc
NM_166964	dnc
NM_166963	dnc
NM_166962	dnc
NM_166961	dnc
NM_166960	dnc
NM_166959	dnc
NM_130729	CG2938
NM_130718	HIP
NM_130699	CG12535
NM_057973	Parg
NM_001297918	CG2938
NM_001297909	CG12535
NM_001272297	CG2938
NM_001272288	DIP-alpha
NM_001272277	CG12535
NM_001272276	CG12535
NM_001272274	dnc
NM_001272272	dnc
NM_001258582	Parg
NR_123794	lncRNA:CR44833
NR_123790	lncRNA:CR32773
NM_167020	Proc-R
NM_167008	norpA
NM_131955	Proc-R
NM_080331	bi
NM_001297940	CG42594
NM_001297939	Proc-R
NM_001297932	bi
NM_001297931	norpA
NM_001272309	bi
NM_001258599	bi
NM_001258598	bi
NM_001169197	CG42594
NM_001169196	CG42594
NM_001169192	bi
NM_001169191	bi
NM_001169190	norpA
NM_001014724	Proc-R
NM_001014723	Proc-R
NM_001014720	norpA
NR_123807	lncRNA:CR45668
NM_206631	SK
NM_167032	SK
NM_167031	SK
NM_167030	SK
NM_167029	SK
NM_132068	Ca-alpha1T
NM_132035	CG42699
NM_132031	CG3097
NM_132009	OtopLa
NM_080339	SK
NM_001297960	SK
NM_001297959	SK
NM_001297958	SK
NM_001297957	SK
NM_001272338	Ca-alpha1T
NM_001272328	OtopLa
NM_001272327	OtopLa
NM_001272326	OtopLa
NM_001272325	OtopLa
NM_001272324	SK
NM_001272323	SK
NM_001272322	SK
NM_001258616	Ca-alpha1T
NM_001258615	Ca-alpha1T
NM_001169205	OtopLa
NM_001103419	Ca-alpha1T
NM_001103415	SK
NM_167121	CG9650
NM_167114	Sxl
NM_167111	Sxl
NM_167083	Pink1
NM_132157	CG9650
NM_132141	CG14431
NM_132125	iav
NM_132112	Pink1
NM_001298044	CG14431
NM_001298023	Pink1
NM_001298019	CG34417
NM_001298018	CG34417
NM_001298017	CG34417
NM_001272375	Sxl
NM_001272374	Sxl
NM_001272355	CG34417
NM_001272354	CG34417
NM_001272353	CG34417
NM_001272352	CG34417
NM_001272351	CG34417
NM_001272349	CG34417
NM_001272350	CG34417
NM_001272348	CG34417
NM_001272347	CG34417
NM_001201619	CG34417
NM_001201620	CG34417
NM_001169217	Sxl
NM_001169215	Sxl
NM_001169209	CG34417
NM_001169208	CG34417
NM_001103429	CG9650
NM_001103426	CG34417
NM_001103425	CG34417
NM_001103423	CG34417
NM_001103422	CG34417
NM_001031893	Sxl
NM_001031891	Sxl
NM_001031883	Pink1
NM_001031882	Pink1
NM_001031881	Pink1
NM_001031880	Pink1
NM_001031879	Pink1
NM_001031878	Pink1
NM_132239	CG1632
NM_132214	cyr
NM_132176	Pdp
NM_001298076	cyr
NM_001298075	cyr
NM_001258648	CG1632
NM_001258638	Pdp
NR_073643	lncRNA:CR43836
NR_073642	lncRNA:CR43836
NR_073641	lncRNA:CR43836
NM_206657	Nrg
NM_167160	Nrg
NM_132287	Nost
NM_132277	Lim1
NM_078535	Nrg
NM_001298100	Nost
NM_001272449	mei-P26
NM_001272448	mei-P26
NM_001272447	mei-P26
NM_001272429	Lim1
NM_001272408	Nrg
NM_001272407	Nrg
NM_001258652	Nrg
NM_001201638	Nost
NM_001201637	Nost
NM_001201635	rdgA
NM_001169241	Nost
NM_001169240	Nost
NM_001169235	Nrg
NM_001169234	Nrg
NM_001169233	Nrg
NM_001103447	rdgA
NM_001103446	rdgA
NM_001042799	rdgA
NM_001316627	l(1)G0289
NM_167193	Cubn
NM_132385	CG34408
NM_132353	CARPB
NM_001298150	CG34408
NM_001298149	CG34408
NM_001298148	CG34408
NM_001298147	CG34408
NM_001298146	CG34408
NM_001298144	RhoU
NM_001298132	CARPB
NM_001272461	CARPB
NM_001258664	CARPB
NM_001144712	CG34408
NM_001144711	CG34408
NM_001103468	CG34408
NM_001042802	RhoU
NM_001042801	RhoU
NM_001369990	ras
NR_073647	asRNA:CR44054
NM_206684	dlg1
NM_206683	dlg1
NM_206682	dlg1
NM_206681	dlg1
NM_167282	dlg1
NM_167277	CG44422
NM_167259	Ork1
NM_167241	ras
NM_167240	ras
NM_132472	CG44422
NM_132471	CG44422
NM_132461	CG15199
NM_132446	CG42339
NM_132412	CG43347
NM_079907	ras
NM_078565	dlg1
NM_078557	Ork1
NM_001298188	CG44422
NM_001298168	Ork1
NM_001298167	Ork1
NM_001272519	dlg1
NM_001272518	dlg1
NM_001272517	dlg1
NM_001272515	CG44422
NM_001272498	ras
NM_001272495	CG43347
NM_001258694	dlg1
NM_001258693	dlg1
NM_001201649	CG44422
NM_001169248	dlg1
NM_001144713	CG43347
NM_001103486	dlg1
NM_001103485	dlg1
NR_073652	lncRNA:CR43960
NR_073650	lncRNA:CR43960
NM_206692	CkIIbeta
NM_206691	Ptp10D
NM_206690	Ptp10D
NM_167292	Ptp10D
NM_132569	Pkcdelta
NM_132543	CG10362
NM_080762	CkIIbeta
NM_078616	Pkcdelta
NM_078582	Ten-a
NM_001272554	Ten-a
NM_001272533	CkIIbeta
NM_001272525	Ptp10D
NM_001272524	Ptp10D
NM_001258713	Ten-a
NM_001258712	Ten-a
NM_001258711	Ten-a
NM_001258699	CkIIbeta
NM_001258700	CkIIbeta
NM_001169261	Ten-a
NM_001169259	Ten-a
NM_001169260	Ten-a
NM_001169258	Ten-a
NM_001144719	Pkcdelta
NM_001144718	Ten-a
NM_001144717	Ten-a
NM_001144715	Ptp10D
NM_167371	Neto
NM_167354	mew
NM_167340	Pde9
NM_167335	Smr
NM_167334	Smr
NM_132625	CG43313
NM_132617	CG12716
NM_132606	Pde9
NM_080536	Smr
NM_078591	dmrt11E
NM_078590	mew
NM_001298282	Neto
NM_001298267	mew
NM_001298255	CG43313
NM_001272576	mew
NM_001272575	mew
NM_001272574	mew
NM_001272567	Pde9
NM_001272566	Pde9
NM_001272562	Smr
NM_167408	dpr8
NM_167403	Muc12Ea
NM_167387	mamo
NM_132704	mamo
NM_001298310	dpr8
NM_001272610	mamo
NM_001258733	mamo
NM_001258732	mamo
NM_001201660	mamo
NM_001103508	mamo
NR_123917	asRNA:CR44998
NR_123916	asRNA:CR44998
NM_176733	CG6299
NM_176732	CG6299
NM_167445	CG6294
NM_167437	HDAC6
NM_167436	HDAC6
NM_132800	CG15642
NM_132789	HDAC6
NM_132768	Lsd-2
NM_132760	pdgy
NM_078601	rut
NM_001298343	CG15642
NM_001298342	CG6299
NM_001298341	CG6299
NM_001298340	CG6299
NM_001298333	Lsd-2
NM_001298332	Lsd-2
NM_001298328	pdgy
NM_001298317	rut
NM_001272640	HDAC6
NM_001272622	rut
NM_001272621	rut
NM_001272620	rut
NM_001272619	rut
NM_001258752	HDAC6
NM_001258751	HDAC6
NM_001258744	pdgy
NM_001258743	rut
NM_001201661	pdgy
NM_001169289	HDAC6
NM_001042812	Lsd-2
NM_001042811	Lsd-2
NR_133532	lncRNA:CR46147
NM_001347790	CG46312
NM_206758	eIF5
NM_206757	eIF5
NM_206756	eIF5
NM_206755	eIF5
NM_167514	CG9992
NM_167513	CG9992
NM_167511	CG9992
NM_167487	disco-r
NM_167477	eIF5
NM_132912	mthl1
NM_132893	CG9992
NM_132870	eIF5
NM_078647	para
NM_001298411	mthl1
NM_001298404	para
NM_001298403	para
NM_001272690	para
NM_001272671	disco-r
NM_001272670	disco-r
NM_001272669	disco-r
NM_001201723	para
NM_001201722	para
NM_001201721	para
NM_001201719	para
NM_001201720	para
NM_001201718	para
NM_001201717	para
NM_001201716	para
NM_001201715	para
NM_001201714	para
NM_001201713	para
NM_001201712	para
NM_001201711	para
NM_001201709	para
NM_001201699	para
NM_001201710	para
NM_001201698	para
NM_001201708	para
NM_001201697	para
NM_001201707	para
NM_001201696	para
NM_001201706	para
NM_001201705	para
NM_001201695	para
NM_001201694	para
NM_001201704	para
NM_001201693	para
NM_001201703	para
NM_001201692	para
NM_001201702	para
NM_001201701	para
NM_001201691	para
NM_001201700	para
NM_001201690	para
NM_001201689	para
NM_001201688	para
NM_001201687	para
NM_001201686	para
NM_001201685	para
NM_001201684	para
NM_001201683	para
NM_001201682	para
NM_001201681	para
NM_001201679	para
NM_001201680	para
NM_001201678	para
NM_001201677	para
NM_001201676	para
NM_001201675	para
NM_001201674	para
NM_001201673	para
NM_001201672	para
NM_001201671	para
NM_001144733	para
NM_001042816	para
NM_001042815	para
NR_123932	lncRNA:CR44754
NM_001347807	baz
NM_167574	chas
NM_144231	CG12994
NM_078661	Fim
NM_001298451	chas
NM_001298442	CG5445
NM_001298436	baz
NM_001298435	baz
NM_001298429	CG45002
NM_001042818	baz
NM_001316640	Sh
NM_206775	Sh
NM_206774	Sh
NM_167599	CG7536
NM_167596	Sh
NM_167595	Sh
NM_167594	Sh
NM_167592	Sh
NM_133083	CG15040
NM_133068	Hayan
NM_133058	CG6123
NM_078671	Ada3
NM_078669	Sh
NM_001272755	Hayan
NM_001272747	CG33639
NM_001272738	Ada3
NM_001272737	Sh
NM_001272736	Sh
NM_001272735	Sh
NM_001258810	CG6123
NM_001258798	Sh
NM_001258797	Sh
NM_001201741	CG33639
NM_001201740	CG33639
NM_001201739	Sh
NM_001169317	Sh
NM_001103550	Hayan
NM_001031899	CG33639
NM_167648	kek5
NM_167647	kek5
NM_167642	Vav
NM_134497	CG14223
NM_133154	kek5
NM_133145	CG8010
NM_133144	Vav
NM_133124	RhoGAP18B
NM_133114	CG43759
NM_001298493	CG43759
NM_001272795	CG14223
NM_001272794	CG14223
NM_001272774	Vav
NM_001272769	CG43759
NM_001272768	CG43759
NM_001258826	CoRest
NM_001258825	CoRest
NM_001258824	CoRest
NM_001258817	kek5
NM_001201742	CoRest
NM_001103560	Vav
NM_001014753	CoRest
NM_001014752	CoRest
NM_206793	Sdic2
NM_001298574	shakB
NM_001298556	Sdic4
NM_001298552	Sdic2
NM_001298551	Sdic2
NM_001298548	Dop2R
NM_001272815	CG1504
NM_001272814	CG1504
NM_001272813	CG1504
NM_001258859	shakB
NM_001258858	shakB
NM_001031909	Dop2R
NM_001014760	Dop2R
NM_001014758	Dop2R
NM_001014757	Dop2R
NR_133534	lncRNA:flam
NM_167774	DIP1
NM_167773	DIP1
NM_167772	DIP1
NM_167736	CG32521
NM_167735	CG32521
NM_167734	CG32521
NM_079929	DIP1
NM_001272833	CG32521
NM_001272832	CG32521
NM_001272831	CG32521
NM_001272830	CG32521
NM_001272829	CG32521
NM_001272828	CG32521
NM_001169346	DIP1
NM_001169345	DIP1
NM_001169344	DIP1
NM_001169343	DIP1
NM_001031918	waw
NM_001031917	bbx
NM_001031911	stg1
NM_001031910	CG11566
NR_123991	lncRNA:CR45464
NR_123990	lncRNA:CR44997
NR_003723	lncRNA:CR40469
NM_001258513	CG17636
NM_001258512	CG17636
NM_001103384	CG17636
NR_123755	lncRNA:CR45473
NR_123754	lncRNA:CR45473
NR_123753	lncRNA:CR45473
NR_073626	lncRNA:CR43863
NR_047712	mir-4915
NM_166835	cin
NM_166834	CG3038
NM_130478	G9a
NM_130477	CG3038
NM_057682	cin
NM_001297799	tyn
NM_001297798	tyn
NM_001297803	CG3038
NM_001297802	CG17707
NM_001297801	tyn
NM_001297800	tyn
NM_001272159	G9a
NM_001169156	CG17707
NM_001144665	CG42376
NM_001144664	CG42376
NM_001038726	tyn
NM_001031861	tyn
NR_123758	lncRNA:CR44752
NR_123757	lncRNA:CR44751
NR_123756	lncRNA:CR44751
NR_047722	lncRNA:yar
NR_047721	lncRNA:yar
NR_047719	lncRNA:yar
NR_047720	lncRNA:yar
NR_047718	lncRNA:yar
NR_047717	lncRNA:yar
NR_047716	lncRNA:yar
NR_047714	mir-980
NR_037723	lncRNA:yar
NM_166841	CG3777
NM_166839	CG32816
NM_166840	CG3777
NM_166838	CG32816
NM_166836	ewg
NM_130483	CG3777
NM_130482	CG12470
NM_130481	CG13375
NM_080290	Or1a
NM_057544	ewg
NM_057476	ac
NM_057444	y
NM_001297808	CG32816
NM_001297807	CG32816
NM_001297806	CG13375
NM_001297805	CG3777
NM_001297804	CG3777
NM_001272165	ewg
NM_001272164	ewg
NM_001272163	ewg
NM_001272162	CG13376
NM_001272161	CG13376
NM_001258517	CG43182
NM_001258516	CG43181
NM_001258515	ewg
NM_001258514	ewg
NM_001169157	CG13375
NM_001014712	ewg
NM_001014711	ewg
NM_001014710	ewg
NM_001014709	ewg
NM_001014708	ewg
NM_001014707	ewg
NM_001014706	CG13376
NR_133503	asRNA:CR45797
NR_123761	asRNA:CR44892
NR_123760	asRNA:CR44891
NM_206599	svr
NM_206598	svr
NM_206597	svr
NM_206596	svr
NM_176679	svr
NM_166846	svr
NM_166844	CG17896
NM_166842	CG32817
NM_130490	CG17778
NM_130489	CG17896
NM_130488	CG3156
NM_130487	CG18273
NM_130486	CG3176
NM_130484	CG13373
NM_080294	elav
NM_080293	svr
NM_080292	Cyp4g1
NM_080291	Pgcl
NM_080140	ebo
NM_057455	sc
NM_057346	ase
NM_057275	l(1)sc
NM_001297815	svr
NM_001297814	svr
NM_001297813	svr
NM_001297812	CG17778
NM_001297811	CG3176
NM_001297810	ebo
NM_001297809	ebo
NM_001272168	CG3176
NM_001272167	CG3176
NM_001272166	CG32817
NM_001258518	elav
NM_001169158	CG32817
NM_001144670	elav
NM_001144669	svr
NM_001103388	CG13373
NM_001014713	elav
NR_144665	mir-9372
NR_123763	lncRNA:CR45475
NR_123762	lncRNA:CR45474
NR_047723	mir-4960
NM_166855	RpL36
NM_166854	RpL36
NM_166853	RpL36
NM_166852	CG17829
NM_166851	CG17829
NM_166849	Vsp37A
NM_166850	Vsp37A
NM_166848	Vsp37A
NM_166847	CG4293
NM_144243	CG13364
NM_143797	CG17829
NM_130496	Roc1a
NM_130495	CG13367
NM_130494	CG13369
NM_130493	CG13365
NM_130492	CG13366
NM_130491	CG4293
NM_080295	Vsp37A
NM_057903	Dredd
NM_057902	Dredd
NM_057901	Dredd
NM_057438	vnd
NM_057406	su(sable)
NM_057281	RpL36
NM_057278	Appl
NM_057245	Mybbp1A
NM_001297825	Roc1a
NM_001297824	su(sable)
NM_001297823	su(sable)
NM_001297822	Dredd
NM_001297821	RpL36
NM_001297820	CG13366
NM_001297819	CG13366
NM_001297818	CG13366
NM_001297817	CG13366
NM_001297816	CG13366
NM_001272172	Vsp37A
NM_001272171	Vsp37A
NM_001272170	CG4293
NM_001258524	Hmt4-20
NM_001258523	Appl
NM_001258522	Appl
NM_001258521	Appl
NM_001258519	Appl
NM_001258520	Appl
NM_001144671	Roc1a
NM_001042789	CG13366
NM_001042788	vnd
NM_001038728	CG4293
NM_001038727	CG4293
NR_123765	lncRNA:CR44966
NR_123764	lncRNA:CR44965
NR_033152	lncRNA:CR42491
NR_003724	snoRNA:Psi18S-531
NR_002459	snoRNA:Psi28S-2179
NM_166863	CG5273
NM_166862	CG5273
NM_166861	SkpA
NM_166859	SkpA
NM_166860	SkpA
NM_166858	SkpA
NM_166857	SkpA
NM_166856	SkpA
NM_134315	sdk
NM_134314	sdk
NM_130499	CG13361
NM_130498	CG13362
NM_130501	CG5273
NM_130500	CG5254
NM_080296	fz3
NM_057942	sdk
NM_058042	SkpA
NM_057941	sdk
NM_057786	RpL22
NM_001297831	fz3
NM_001297830	CG5254
NM_001297829	sdk
NM_001297828	sdk
NM_001297827	sdk
NM_001297826	SkpA
NM_001169160	sdk
NM_001169159	sdk
NM_001103389	fz3
NM_001038729	SkpA
NR_123766	lncRNA:CR44469
NM_144244	CG3713
NM_130512	CG11663
NM_130509	CG11664
NM_130508	CG14635
NM_130507	Sec22
NM_130506	CG13358
NM_130505	CG13359
NM_130504	CG16989
NM_130503	CG13360
NM_080297	Rbf
NM_058041	CG43867
NM_001297833	CG43867
NM_001297832	CG16989
NM_001272184	CG11663
NM_001272181	CG3713
NM_001272179	CG43867
NM_001272178	CG43867
NM_001272177	CG43867
NM_001272176	CG43867
NM_001272175	CG43867
NM_001272174	Sec22
NM_001103391	CG43867
NM_001103390	CG43867
NM_001042790	CG14634
NR_123767	lncRNA:CR45476
NM_001316642	CG33082
NM_206601	su(w[a])
NM_206600	su(w[a])
NM_176680	CG33082
NM_166869	CG32814
NM_166868	TRAM
NM_166867	TRAM
NM_166866	TRAM
NM_166865	CG32815
NM_145103	CG18823
NM_144382	CG3021
NM_144377	CG3706
NM_143728	CG14630
NM_130524	CDC45L
NM_130523	CG11638
NM_130522	CG14631
NM_130521	TfIIA-S-2
NM_130520	CG3690
NM_130519	CG3699
NM_130518	CG3703
NM_130517	mus81
NM_130516	CG3704
NM_130515	CG3708
NM_130514	MED22
NM_130513	Lztr1
NM_057408	su(w[a])
NM_001297835	CG3690
NM_001297834	CG32815
NM_001272187	su(w[a])
